id,age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
54,21,"FRENCH","Male","4TH YR COL",0.45,"No",510,155,2,"Very Good",0,0,15,35,"retail","No","0"
55,14,"ENGLISH","Female","4TH YR COL",1.8,"No",505,156,5,"Very Good",0,0,5,84,"retail","No","1"
56,17,"FRENCH","Male","12TH GRADE",0.6,"No",600,270,4,"Very Good",0,0,11,56,"construction","No","0"
57,18,"FRENCH","Female","3RD YR COL",0.1,"Yes",501,110,4,"Very Good",3,0,19,36,"retail","No","0"
58,20,"FRENCH","Male","2ND YR COL",4.1,"No",600,180,4,"Very Good",0,1,3,71,"retail","No","1"
59,18,"GERMAN","Male","4TH YR COL",5.8,"No",510,160,6,"Very Good",0,0,8,92,"pub","Yes","1"
60,16,"ITALIAN","Female","12TH GRADE",4.2,"No",504,280,4,"Very Good",1,0,11,44,"transp","No","1"
61,17,"FRENCH","Female","4TH YR COL",13.8775,"No",506,120,7,"Excellent",0,0,10,87,"pro","No","1"
62,16,"IRISH","Female","4TH YR COL",1.1,"No",503,120,7,"Excellent",0,0,12,80,"personal","No","0"
63,20,"IRISH","Female","5TH YR COL",4.6,"No",510,160,4,"Excellent",0,0,5,74,"pro","Yes","1"
64,16,"ENGLISH","Female","6TH YR COL",0.6,"No",504,130,3,"Excellent",0,0,13,81,"pro","No","0"
65,14,"POLISH","Female","12TH GRADE",0,"Yes",504,150,5,"Good",0,0,5,29,"retail","No","0"
66,17,"GERMAN","Female","2ND YR COL",0,"No",501,122,3,"Excellent",0,0,3,25,"fin","No","0"
67,16,"GERMAN","Male","12TH GRADE",3.24,"No",600,231,5,"Very Good",3,0,7,65,"manuf","No","1"
68,15,"GERMAN","Female","12TH GRADE",5.45,"No",505,130,5,"Very Good",0,0,6,29,"fin","Yes","1"
69,19,"GERMAN","Male","12TH GRADE",2.5,"No",506,110,3,"Very Good",0,0,17,41,"busi","Yes","1"
70,17,"ITALIAN","Female","12TH GRADE",4.8,"No",504,120,5,"Very Good",0,0,7,92,"fin","No","1"
71,20,"ITALIAN","Female","4TH YR COL",1.5,"No",501,144,5,"Very Good",0,0,8,85,"fin","No","0"
72,19,"FRENCH","Female","2ND YR COL",3.46,"No",506,170,5,"Good",2,0,13,80,"pub","No","1"
73,17,"FRENCH","Female","12TH GRADE",3,"No",507,257,5,"Very Good",2,1,10,31,"pro","No","1"
74,17,"OTHER","Male","4TH YR COL",7.2,"No",510,150,4,"Very Good",0,0,10,98,"retail","No","1"
75,18,"ENGLISH","Female","12TH GRADE",1.2,"No",506,115,4,"Very Good",0,0,7,43,"fin","No","0"
76,17,"GERMAN","Male","1ST YR COL",3.7,"No",510,220,5,"Very Good",5,0,7,57,"manuf","No","1"
77,17,"OTHER","Male","4TH YR COL",4.5,"No",510,170,3,"Good",0,0,7,80,"manuf","No","1"
78,18,"PUERTORICAN","Female","1ST YR COL",3.5,"No",501,116,5,"Good",0,0,13,57,"fin","No","1"
79,20,"GERMAN","Male","1ST YR COL",1.2,"No",511,158,4,"Very Good",2,0,7,82,"construction","No","0"
80,20,"ITALIAN","Female","12TH GRADE",2,"No",500,104,2,"Very Good",0,0,7,42,"transp","No","1"
81,18,"GERMAN","Female","1ST YR COL",2,"No",506,120,5,"Excellent",3,0,10,62,"manuf","No","1"
82,14,"ENGLISH","Male","12TH GRADE",2.4,"No",600,160,5,"Excellent",0,0,8,48,"manuf","No","1"
83,19,"GERMAN","Female","3RD YR COL",5.285,"No",505,138,5,"Excellent",0,0,11,78,"wholesale","No","1"
84,21,"ITALIAN","Male","3RD YR COL",3.8,"No",603,170,1,"Very Good",0,0,3,65,"busi","No","1"
85,17,"INDIAN","Female","6TH YR COL",0,"No",503,118,4,"Fair",0,0,8,73,"pub","No","0"
86,15,"INDIAN","Male","6TH YR COL",5,"No",507,142,4,"Good",0,0,5,73,"pro","No","1"
87,15,"ENGLISH","Female","4TH YR COL",2.5,"No",501,110,4,"Very Good",0,0,6,72,"fin","Yes","1"
88,21,"FILIPINO","Male","4TH YR COL",6.1,"No",508,155,4,"Very Good",0,0,2,65,"manuf","No","1"
89,19,"GERMAN","Male","6TH YR COL",8.35,"No",600,160,4,"Excellent",0,1,6,90,"manuf","No","1"
90,16,"ITALIAN","Female","12TH GRADE",0,"No",501,108,5,"Excellent",0,0,20,15,"fin","No","0"
91,15,"ENGLISH","Male","6TH YR COL",6.5,"No",508,155,4,"Good",2,0,4,63,"personal","No","1"
92,20,"ITALIAN","Female","12TH GRADE",1.5,"No",503,105,2,"Good",0,0,3,24,"busi","No","0"
93,21,"ITALIAN","Male","4TH YR COL",13.8775,"No",511,165,4,"Good",0,0,3,95,"fin","No","1"
94,15,"ENGLISH","Female","4TH YR COL",3.7,"No",506,118,5,"Very Good",0,0,8,64,"manuf","No","1"
95,18,"IRISH","Male","12TH GRADE",0.95,"Yes",601,185,6,"Very Good",0,0,6,64,"manuf","No","0"
96,16,"IRISH","Male","4TH YR COL",0,"No",511,155,6,"Good",0,0,9,99,"manuf","No","0"
97,14,"IRISH","Male","3RD YR COL",5.3,"No",600,200,6,"Excellent",2,0,9,54,"retail","No","1"
98,21,"AMERICAN","Male","4TH YR COL",13.8775,"Yes",507,150,2,"Excellent",0,0,6,93,"busi","No","1"
99,19,"GERMAN","Female","8TH YR COL OR MORE",6.9,"No",504,110,4,"Very Good",0,0,6,63,"pro","No","1"
100,17,"GERMAN","Female","8TH YR COL OR MORE",8,"No",507,110,4,"Excellent",0,0,7,89,"busi","No","1"
